Data;Resultado;Mistura
17/06/2023 11:51;01:10.02;R' B' U' R B' U R F' D' R B' D L' B' U' L B' U' L' F' U' L B U L
17/06/2023 10:59;01:15.94;R' F U L' B' D' L F' U' R' F' D R B' D L B D' L' F U R B' U R
16/06/2023 16:38;01:30.93;R' F' D R' F' D' L F' U' L B' U' R B' D R' F' U' R' F U R F U' R'
16/06/2023 16:33;01:11.53;L B D' R' F' D R' F D' R B U' L F D L' B U' L' F' U' L' F' D' R
16/06/2023 16:30;01:31.92;R F D L' B D L F' U' R F' D' R B' U L' F D L' B' U R' B' D L
16/06/2023 16:28;01:23.68;L' B' D R' B U' L' F' D' L' F' D R' B' D L' B' D R F' D R' F' U L
16/06/2023 16:26;01:34.53;R B' U L B' D' L F U' L F D R B' U L B' U R F' D L' B D' L
16/06/2023 16:10;01:21.68;R B D' L' F D R' F' U' R' B U R B U R F U R' B' D' R B U R
16/06/2023 16:08;01:20.83;R F' U' R B U' L' B' D' L B' U R' F U' R' F' U' R F D L F U R
16/06/2023 16:03;01:21.31;R' F' D R F' U' L' F D' R' B U' L B U L' F D L' B U' L F D L
16/06/2023 16:01;01:00.80;R B U' L' F D' L F U R F D R' F U L' B U' L B D R' B D R'
16/06/2023 15:59;01:31.27;R F D' R' F D' L F' D' R B D L' B' U L' F' U R B U R F' D R
16/06/2023 15:56;01:55.23;L' B' U' L' F U' R B U L' F D L F U L B D' L' F' D L F' U' R'
16/06/2023 15:49;01:48.34;R' F U' L B D' R' F' D R F' D' R B' U' R B' U' R' B' U L' F U' R
01/06/2023 14:27;01:11.53;L F' D' R F' U R B U' R F D' R B' D L F' U' L' F' D' R' F U' R
01/06/2023 14:25;01:07.86;R B' U' L' B U L' F' D R' F' U L B D' R F D R' F D' L' B D L'
01/06/2023 14:23;01:18.23;L' B D' R' B' U' L' B' U' R' B' U R F D' R' F U R' F D L' F D L'
01/06/2023 14:21;01:20.49;R F' D R F' U L F' D L' B U L B' U' L' B' D' L' F D R' F' U' R'
01/06/2023 14:19;01:09.21;R F U' L' F U' L' B' D L B D' L' F' U L' F' D' R B' U L' B U' R'
01/06/2023 14:17;01:07.91;R F' D R' F U' L B' D' L' B' U' R B U R' F D L' B D R B' D' R'
01/06/2023 14:15;01:16.25;R F' D' R F D' R' B' U' R B' U' R' F D R F U' L' F D' L' B U' R
31/05/2023 22:55;01:39.34;L F' D L F' D' R' B D' R' B U L' F' D R' F' U L' F U R' B' U' L'
31/05/2023 22:53;01:34.24;R' B D' R' B U R' F D' R' B U' R B U' R B U R' F' D' R F U' L
31/05/2023 22:51;01:46.13;L' F' D' R' F' U' L F' U L B' U R' B U' R B' D R' B' U R B' D R
31/05/2023 22:48;01:43.34;R B D' R' F D R' F' D' L' F D' L' B' D L' F' U' L' F U R' B' U L
31/05/2023 18:42;01:42.62;R' B' D R F' D' L F U R' F' U L' B' D' R F' U R' F D R' B' D L'
31/05/2023 18:39;01:30.21;R' F U' R' B U' L F D' R' F' U' L' F U' L F' D L' F D L B D' R'
27/05/2023 11:04;02:02.98;L' B D' R F' D' L B' D' R F D' R' B' U' R' B D' L' B D R B D' L
27/05/2023 11:01;01:43.21;L F U' R' F U L B' D R F' U' L F' U' R F' U' L' F U' L F' U' L'
27/05/2023 10:59;01:40.23;R' F D' L' B D R B' U' R' B U R' F U' L' F D R F' U R B U R
27/05/2023 10:55;01:28.12;R' B U R B' D' R B' D R' B U R' B D R' B U' L B' U' L' B U L'
27/05/2023 10:53;01:17.33;R F' D L B U L B' D R B U' L' F U' R B' U L' B' D R B U L'
27/05/2023 10:51;01:38.58;R B U R B' D R' B' D L' B D' L' F D R B' D' R' F' U' L B' U L'
27/05/2023 10:48;01:49.57;L' B D L' B' U' R' F U' R' B D' L' F' U' R B U R' B' D R' F U L'
27/05/2023 10:43;01:44.85;R' B U' R' B U' L' F U' R F D L F D R F D L B U' L' B' U' R'
27/05/2023 10:41;01:49.96;L' B' U L B D L B' U R B D' L' F' U R F U' R B U' L' F D' R
27/05/2023 10:38;01:15.44;R' F' U R F' U R' B D R F' D L' B U' R F' U R' F' D' R' B' U' L'
27/05/2023 10:36;01:10.33;L F D' R' B' D' R F D' L F' D' L F' U' R' B D' L' F' U' L' B U' R'
27/05/2023 10:35;01:18.01;R F D R F U' L B D R' F' U' R' B' D' L' F' D' R F' U R' B U R
27/05/2023 10:32;01:53.15;R' F D' R F' D L B' D' R B U R B' U R' F' U L' B' U' R B D L
27/05/2023 10:29;01:16.56;R' B U R' B' D R F U' L F' U L B D R' F' D R F D' R' B D' R'
27/05/2023 10:27;01:09.39;R' F' D R B U L' B' U' L B' D' L' F U' L B' U R B D R' F' U R'
27/05/2023 10:10;01:10.07;L B' D L' F U L F' D' L F U' L F' D L B D' R F D L F D' L'
27/05/2023 10:06;01:28.05;R F' U' R' B' U L B U R F' D R' B' U' R' B U' R' F' U' R' B U R'
27/05/2023 10:03;01:27.92;R B U L F D R' F U L' F' D' R B' U' L' B D R' F' D R' F' D' L'
27/05/2023 10:00;01:32.25;L F D' L B' U' R F' U L' B' D R' B' U' R' F' D L F U L B' U L
27/05/2023 09:51;01:57.08;R' B U' L F' D' L F' D R' B' D' R B U' R F D' L B U' L B' D L
27/05/2023 09:47;01:58.61;L B' D L' F' U L' B U' R B' D' L F' D R' F' U' R F D' R F U L
26/05/2023 11:48;02:05.42;R F D R' F' U' R' F U L' B U R B U L' F U' L B' U' R' B D' R'
26/05/2023 11:45;01:25.72;L B' D R' F D' R F U' R' F U' R B' D R' B' D' R' B U L' F' D R
23/05/2023 16:17;01:37.68;R B D R' F' D' L F' U' R' B' D L B D' L F D R' F' D L' F' D R'
23/05/2023 16:15;02:00.45;L' B D L' B D R' F' U L F U R' F D' R F D' R' F' D' R B' U R
23/05/2023 16:12;01:30.65;L' F' U' L B U' L B U R' B' D L B D' R F D R B U' L' F' U L'
23/05/2023 16:09;01:31.64;L B' U' L' B' U R' B' U' R' F U' R B D R F' D L' B D L' B' U R
23/05/2023 16:07;01:38.48;L B U' R' B' D' L B' D R' F U L' B U' L B' D' L' B U R' B D L
23/05/2023 16:04;01:45.37;R B' U' R F D' L' F' D R' B' U R' F D R' F U' R' B' U' L B' D' R'
23/05/2023 16:02;01:38.01;R F D L F U' R' B D R B D L' B D R' F D' R B U' R F U' R
23/05/2023 15:59;02:01.42;L' B' U' L' B U' L' F D' L' F U' L B' U R' B' D' L B U' R' B' U' R
23/05/2023 15:53;01:13.08;L' F' U' R' B U R B' D' R' B' D' R F D R B D' R F' D L' F' U' R'
23/05/2023 15:50;01:35.56;R F U' L' B' U R F D' L' B' D' L' F' D' R F U L' F' D L F' U' R
23/05/2023 15:48;01:55.12;R' F U' L' B' D R F U L F U' R' F U R B U R' B D' L' B' U L
23/05/2023 15:45;01:36.92;R B' D L F' U L B U R F D' R F D' R B' D R' B D R' B' D' L
20/05/2023 13:21;01:30.45;R F' U' R' B U' L' B U L B U' L' B' D' R F U L F D R' F U R'
20/05/2023 13:19;01:40.53;L' B' U L' F' U L' B' D R' F U L' F U' L' B' U' R' B U R' F D' R
20/05/2023 13:16;01:16.37;L B U L' B' D L' F U R F' D' L' B' U' R' F D R' B D' R B' U L'
20/05/2023 13:14;01:59.16;R' F' U L F' D' R' B' D L B' U R B U L B' D' R F' D R' F' D L'
20/05/2023 13:11;01:46.44;L F D L F' D R' B U' L B' U R' B D R F U R' F U' R' F' D L'
20/05/2023 13:09;01:40.47;R F D L F D' L B' U' R' F' D' L' F' U' L F D R F U' R B D' R
20/05/2023 13:07;01:34.23;R F U L' F' D' L B U' L F D L' F U' R B D' R' F D L' F' U' L'
20/05/2023 13:04;02:26.21;R' B U' R' B' U L B' U' L' F' D' R' B' U' L' B' D L' F' U R F' U' L
20/05/2023 10:04;01:56.18;L' F D L F' D L B' D' L F' D L F U L' F U L F U' L' B' D' L'
20/05/2023 10:02;01:49.75;R F' D' R B U R' B D R B U' L' F' D' R' F' U R' F U R B' U' L'
20/05/2023 09:59;01:19.39;L' F U R B U R' B' D' R' F' U' L F' U' R' F U' R F' U' L' B' U R
20/05/2023 09:57;02:21.84;L' B' D' R B' U R B' U' L' B U' R' B' D L' B U L F U L' F' D' L
20/05/2023 09:54;02:00.39;L' B D' L' B D R B U' L B D R B D R' B' U L B' D' R' B U' L'
20/05/2023 09:51;02:50.79;R' B U' L B' U L B' D' L' F D' R' B D L' F' D' L' B D' R' F' D R
20/05/2023 09:47;02:03.56;R' B' D' L' B' D' L F' U' R F D L F' D L' F' D' R' B' D R' F D R
20/05/2023 09:44;01:29.89;R F D R' B' D' R' B U' L B' U L F U' R' F' U' L F' D L' B' D R'
20/05/2023 09:42;01:46.48;L' B U' R' B' U R F' D' R F U L B U L' F U R F' U' L B' D R
20/05/2023 09:39;01:35.43;R' F U R' B U' R F' D L F U L B D R' B U R F U' L' B D R'
20/05/2023 09:37;02:09.85;R B D' R' F' D' R B D L F D' R B' D' L' B D L' F' D L' B U' R'
20/05/2023 09:34;01:58.53;L B' U R F' U' L' B U L F' U' R' F D' L F' D' R' F' D' R B U' R'
20/05/2023 09:30;01:50.69;L B U R B D L' F' D L' B U R B U R B D L F' D' L F U' L'
20/05/2023 09:26;02:21.79;R B' U L' F D' L' B U' L' B U R' F U' R B' D' R' B' U R F U' R
;;
Melhor tempo;48.20;
Tempo médio;01:28.57;
Média 5;01:03.54;
Pior tempo;02:50.79;
